input_lang,output_lang
Who was the first to climb Mount Everest?,Кто был  первый в восхождение гора Эверест? 
How many languages are spoken in Colombia?,Как многие языки находятся разговорный в Колумбия? 
What is the currency of the Czech Republic?,Какие является  валюта из  Чешский Республика? 
Where in France is sparkling wine produced?,где в Франция является сверкающий вино производится? 
When did Boris Becker end his active career?,когда сделал Борис Becker конец его активный карьера? 
Which movies starring Mickey Rourke were directed by Guy Ritchie?,Который кино в главной роли Микки Рурк мы направленный от парень Ritchie? 
In which films did Julia Roberts as well as Richard Gere play?,В который фильмы сделал Юлия Робертс в виде Что ж в виде Ричард Гир играть? 
Show me Hemingway's autobiography.,Показать меня Хемингуэя автобиография. 
How tall is Amazon Eve?,Как высокий является Амазонка Ева? 
What are the five boroughs of New York?,Какие находятся  5 боро из новый Йорк? 
Give me all Canadian Grunge record labels.,Дайте меня все канадец Grunge запись этикетки. 
In which country does the Ganges start?,В который страна делает  Ганг Начало? 
Who is the founder of Penguin Books?,Кто является  основатель из пингвин Книги? 
Who wrote the Game of Thrones theme?,Кто писал  Игра из престолы тема? 
Who is the president of Eritrea?,Кто является  президент из Эритрея? 
In which city did John F. Kennedy die?,В который город сделал Джон F. Кеннеди ? 
What is the highest mountain in Australia?,Какие является  наибольший гора в Австралия? 
Who writes the Farmers' Almanac?,Кто пишет  Фермеры Альманах? 
Give me the currency of China.,Дайте меня  валюта из Китай. 
Give me all Swedish oceanographers.,Дайте меня все шведский океанографы. 
In which city are the headquarters of the United Nations?,В который город находятся  главное управление из  объединенный Наций? 
Is Rita Wilson the wife of Tom Hanks?,Является Рита Wilson  жена из Том Хэнкс? 
In which countries do people speak Japanese?,В который страны делать люди говорить Японский? 
Which of Tim Burton's films had the highest budget?,Который из Тим Бертона фильмы имел  наибольший бюджет? 
Which museum in New York has the most visitors?,Который музей в новый Йорк имеет  большинство посетители? 
What was the first Queen album?,Какие был  первый Королева альбом? 
What was the first name of the band Queens of the Stone Age?,Какие был  первый имя из  группа Квинс из  Камень Возраст? 
What was the last movie with Alec Guinness?,Какие был  последний кино с сельдь Guinness? 
Give me all actors starring in Last Action Hero.,Дайте меня все актеры в главной роли в Последний действие Hero. 
Who discovered Pluto?,Кто обнаруженный Плутон? 
