input_lang,output_lang
How many scientists graduated from an Ivy League university?,Quanti scienziati si sono laureati in un'Università dell'Ivy League?
Which types of grapes grow in Oregon?,Quali tipi di uva crescono in Oregon?
Who is starring in Spanish movies produced by Benicio del Toro?,Chi recita nei film spagnoli prodotti da Benicio del Toro?
Who is the manager of Real Madrid?,Chi è il manager del Real Madrid?
Give me the currency of China.,Dammi la valuta della Cina.
Which movies starring Mickey Rourke were directed by Guy Ritchie?,Quali film in cui recita Mickey Rourke sono stati diretti da Guy Ritchie?
Is Darth Vader Luke’s father?,Darth Vader è il padre di Luke?
How many companies were founded by the founder of Facebook?,Quante società sono state fondate dal fondatore di Facebook?
How many companies were founded in the same year as Google?,Quante società sono state fondate nello stesso anno di Google?
Which subsidiary of TUI Travel serves both Glasgow and Dublin?,Quale società sussidiaria di TUI Travel serve sia Dortmund che Dublino?
How many airlines are members of the Star Alliance?,Quante compagnie aeree membri di Star Alliance?
Give me all spacecrafts that flew to Mars.,Dammi tutte le astronavi che hanno volato su Marte.
Which musician wrote the most books?,Quale musicista ha scritto il maggior numero di libri?
Show me everyone who was born on Halloween.,Mostrami tutti coloro che sono nati ad Halloween.
Give me all Swiss non-profit organizations.,Dammi tutte le organizzazioni no-profit svizzere.
In which country is Mecca located?,In quale stato si trova La Mecca?
What is the net income of Apple?,Qual è il reddito netto di Apple?
What does the abbreviation FIFA stand for?,Cosa significa l'acronimo FIFA?
When did the Ming dynasty dissolve?,Quando è scomparsa la dinastia Ming?
Which museum in New York has the most visitors?,Quale museo di New York ha il maggior numero di visitatori?
Is Lake Baikal bigger than the Great Bear Lake?,Il lago Baikal è più grande le lago Great Bear?
Desserts from which country contain fish?,I dessert di quale stato contengono pesce?
What is the highest mountain in Italy?,Qual è la montagna più alta in Italia?
Where did the architect of the Eiffel Tower study?,Dove ha studiato l'architetto della Tour Eiffel?
Which Greek parties are pro-European?,Quali partiti greci sono a favore dell'Europa?
What is the height difference between Mount Everest and K2?,Qual è la differenza di altezza tra il monte Everest e il K2?
Who is the mayor of Rotterdam?,Chi è il sindaco di Rotterdam?
In which city were the parents of Che Guevara born?,In quale città sono nati i genitori di Che Guevara?
How high is the lighthouse in Colombo?,Quanto è alto il faro di Colombo?
Are Taiko a kind of Japanese musical instruments?,I Taiko sono una serie di strumenti musicali giapponesi?
How many ethnic groups live in Slovenia?,Quanti gruppi etnici vivono in Slovenia?
List the seven kings of Rome.,Elenca i sette re di Roma.
Who were the parents of Queen Victoria?,Chi sono i genitori della regina Vittoria?
Who is the heaviest player of the Chicago Bulls?,Chi è il giocatore più pesante dei Chicago Bulls?
Which volcanos in Japan erupted since 2000?,Quali vulcani in Giappone hanno eruttato dal 2000?
Who is the tallest basketball player?,Chi è il giocatore di pallacanestro più alto?
Who is the host of the BBC Wildlife Specials?,Chi è il presentatore degli speciali della BBC Wildlife?
In what city is the Heineken brewery?,In quale città si trova il birrificio della Heiniken?
When did Operation Overlord commence?,Quando è iniziata l'operatione Overlord?
Who developed Slack?,Chi ha sviluppato Slack?
How many seats does the home stadium of FC Porto have?,Quanti posti a sedere ha lo stadio del FC Porto
Who discovered Ceres?,Chi ha scoperto Cerere?
What is the largest country in the world?,Qual è la nazione più grande al mondo?
Who is the mayor of Paris?,Chi è il sindaco di Parigi?
Who is the coach of Ankara's ice hockey team?,Chi è l'allenatore della squadra di hockey di Ankara?
How much did the Lego Movie cost?,Quanto è costato il Lego Movie?
Where does Piccadilly start?,Dove inizia Piccadilly?
How many people live in Poland?,Quante persone vivono in Polonia?
Who created Family Guy?,Chi ha creato I Griffin?
Who wrote the song Hotel California?,Chi ha scritto la canzone Hotel California?
What is in a chocolate chip cookie?,Cosa c'e' in un biscotto con gocce di cioccolato?
Give me all professional skateboarders from Sweden.,Dammi tutti gli skateboarders professionisti di Svezia.
Does Neymar play for Real Madrid?,Neymar gioca per il Real Madrid?
Which computer scientist won an oscar?,Quale informatico ha vinto un Oscar?
Who played Gus Fring in Breaking Bad?,Chi ha interpretato Gustavo Fring in Breaking Bad - Reazioni collaterali?
In which ancient empire could you pay with cocoa beans?,In quale antico impero era possibile pagare con le fave di cacao?
Which electronics companies were founded in Beijing?,Quali società di elettronica sono state fondate a Pechino?
What is the capital of Cameroon?,Qual è la capitale del Cameroon
What is Batman's real name?,Qual è il vero nome di Batman?
What form of government does Russia have?,Quale forma di governo ha la Russia?
Which Indian company has the most employees?,Quale società indiana ha il maggior numero di dipendenti?
What color expresses loyalty?,Quale colore esprime lealtà?
Who is the president of Eritrea?,Chi è il presidente dell'Eritrea?
Which films did Stanley Kubrick direct?,Quanti film ha diretto Stanley Kubrick?
Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?,Quale società sussidiaria di Lufthansa serve sia Dortmund che Berlin Tegel?
Who was the successor of John F. Kennedy?,Chi fu il successore di John F. Kennedy?
Who composed the soundtrack for Cameron's Titanic?,Chi ha composto la colonna sonora di Titanic di Cameron?
In which time zone is Rome?,Qual è il fuso orario di Roma?
Who are the developers of DBpedia?,Chi ha sviluppato DBpedia?
Who is the king of the Netherlands?,Chi è il re dei Paesi Bassi?
In which city did Nikos Kazantzakis die?,In quale città è morto Nikos Kazantzakis
Give me a list of all critically endangered birds.,Dammi la lista di tutti gli uccelli in via di estinzione.
Which companies produce hovercrafts?,Quali società producono aeroscafi?
Did Elvis Presley have children?,Elvis Presley ha avuto dei figli?
In which city was the president of Montenegro born?,In quale città è nato il presidente del Montenegro?
Which country was Bill Gates born in?,In quale stato è nato Bill Gates?
In which countries do people speak Japanese?,In quali stati si parla giapponese?
What was the first Queen album?,Qual è stato il primo album dei Queen?
What country is Sitecore from?,Di che nazione è Sitecore?
Whom did Lance Bass marry?,Chi ha sposato Lance Bass?
Who was Vincent van Gogh inspired by?,Da chi fu inspirato Vincent van Gogh?
Who wrote the Game of Thrones theme?,Chi ha scritto Game of Thrones?
When did Boris Becker end his active career?,Boris Becker quando ha concluso la sua carriera?
To which party does the mayor of Paris belong?,A quale partito polito appartiene il sindaco di Parigi?
Who was the doctoral supervisor of Albert Einstein?,Chi era il supervisore della tesi di dottorato di Albert Einstein?
In which city does Sylvester Stallone live?,In quale città vive Sylvester Stallone?
Who is the son of Sonny and Cher?,Chi è il figlio di Sonny e Cher
In which city are the headquarters of the United Nations?,In quale città si trova il quartier generale delle Nazioni Unite?
Show me Hemingway's autobiography.,Mostrami l'autobiografia di Hemingway.
Did Kaurismäki ever win the Grand Prix at Cannes?,Kaurismäki ha mai vinto il Grand Prix a Cannes?
Where is Syngman Rhee buried?,Dove è sepolto Syngman Rhee?
Show me all books in Asimov's Foundation series.,Mostrami tutti i libri del Ciclo della Fondazione di Asimov
How high is the Yokohama Marine Tower?,Quanto è alta la torre Yokohama Marine?
Does the new Battlestar Galactica series have more episodes than the old one?,La nuova serie di Battlestar Galactica ha più episodi di quella precedente?
What is the biggest stadium in Spain?,Qual è lo stadio più grande in Spagna?
Which professional surfers were born on the Philippines?,Quali surfisti professionisti sono nati nelle Filippine?
What are the five boroughs of New York?,Quali sono i cinque quartieri di New York?
When did princess Diana die?,Quando è morta la principessa Diana?
Are there any castles in the United States?,Ci sono castelli negli Stati Uniti?
Can you find frescoes in Crete?,Si possono trovare affreschi a Creta?
Do Urdu and Persian have a common root?,Urdu e Persiano hanno le stesse radici?
Does the Ford Motor Company have a manufacturing plant in Malaysia?,La Ford ha una fabbrica in Malesia?
How many years was the Ford Model T manufactured?,Per quanti anni fu prodotta la Ford T?
Give me all gangsters from the prohibition era.,Dammi tutti i gangster dell'era del proibizionismo.
Give me all Seven Wonders of the Ancient World.,Dammi tutte le Sette Meraviglie del Mondo Antico.
Give me all chemical elements.,Dammi tutti gli elementi chimici.
How many rivers and lakes are in South Carolina?,Quanti fiumi e laghi ci sono in Carolina del Sud?
How many states are in Mexico?,Quanti stati ci sono in Messico?
How many theories did Albert Einstein come up with?,Quante teorie formulò Albert Einstein?
Is horse racing a sport?,L'ippica è uno sport?
Is Pluto really a planet?,Plutone è veramente un pianeta?
Was Sigmund Freud married?,Sigmund Freud era sposato?
What form of government is found in South Africa?,Che forma di governo c'è in Sudafrica?
What is the largest state in the United States?,Qual è lo stato più esteso degli Stati Uniti?
What is the longest river in the world?,Qual è il fiume più lungo del mondo?
Which building after the Burj Khalifa has the most floors?,Quale edificio dopo il Burj Khalifa ha più piani?
What is the wavelength of indigo?,Qual è la lunghezza d'onda dell'indaco?
What was the name of the famous battle in 1836 in San Antonio?,Quale fu il nome della famosa battaglia di San Antonio del 1836?
What were the names of the three ships used by Columbus?,Quali furono i nomi delle tre navi utilizzate da Colombo?
When did Muhammad die?,Quando morì Maometto?
When was the De Beers company founded?,Quando fu fondata l'azienda De Beers?
When was John Adams born?,Quando nacque John Adams?
Which American presidents were in office during the Vietnam War?,Quali presidenti americani erano in carica durante la Guerra del Vietnam?
Which city has the oldest running metro?,Quale città ha la più antica metropolitana in funzione?
Which holidays are celebrated around the world?,Quali festività sono celebrate nel mondo?
Who assassinated President McKinley?,Chi assassinò il presidente McKinley?
Who discovered Pluto?,Chi scoprì Plutone?
Who killed Caesar?,Chi uccise Giulio Cesare?
Who was buried in the Great Pyramid of Giza?,Chi fu sepolto nella Grande Piramide di Giza?
Who was the first King of England?,Chi fu il primo Re d'Inghilterra?
What was the final result of the War of the Roses?,Quale fu il risultato finale della Guerra delle Due Rose?
Who writes the Farmers' Almanac?,Chi scrive il Farmers' Almanac?
How big is the earth's diameter?,Quanto è grande il diametro della Terra?
How many people live in Eurasia?,Quante persone vivono in Eurasia?
Give me the runtime of Toy Story.,Dammi la durata di Toy Story.
What was the first name of the band Queens of the Stone Age?,Qual è stato il primo nome del gruppo Queens of the Stone Age?
Give me the birth place of Frank Sinatra.,Dammi il luogo di nascita di Frank Sinatra.
Which university did Angela Merkel attend?,Quale università ha frequentato Angela Merkel?
List all boardgames by GMT.,Elenco tutti giochi da tavolo di GMT. 
Who developed Skype?,Chi sviluppato Skype? 
Which people were born in Heraklion?,Quale persone erano Nato in Candia? 
In which U.S. state is Area 51 located?,In quale Stati Uniti stato è La zona 51 si trova? 
Where did Abraham Lincoln die?,Dove fatto Abraham Lincoln il? 
Give me all actors starring in movies directed by and starring William Shatner.,Dammi tutti gli attori che recitano in film diretti e recitati da William Shatner.
Which movies starring Brad Pitt were directed by Guy Ritchie?,Quali film in cui recita Brad Pitt sono stati diretti da Guy Ritchie?
Give me the Apollo 14 astronauts.,Dammi gli astronauti dell'Apollo 14.
Who wrote the book The pillars of the Earth?,Chi ha scritto il libro Il pilastri di il Terra? 
Which state of the United States of America has the highest density?,Quale stato di il Unito stati di America ha il massimo densità? 
Which spaceflights were launched from Baikonur?,Quali viaggi spaziali furono lanciati da Baikonur?
Give me a list of all trumpet players that were bandleaders.,Dammi la lista di tutti i trombettisti che sono stati leader di un gruppo.
Which U.S. states are in the same timezone as Utah?,Quali stati degli Stati Uniti d'America si trovano nello stesso fuso orario dello Utah?
Show me all museums in London.,Mostrami tutti i musei di Londra.
Show me all basketball players that are higher than 2 meters.,Mostrami i giocatori di pallacanestro più alti di 2 metri.
What movies does Jesse Eisenberg play in?,In quali film recita Jesse Eisenberg?
What kind of music did Lou Reed play?,Quale tipo di musica suonava Lou Reed?
Where do the Red Sox play?,Dove suonano i Red Sox?
How many movies did Park Chan-wook direct?,Quanti film ha diretto Park Chan-wook?
Which movies star both Liz Taylor and Richard Burton?,Quali film sono interpretati da Liz Taylor e Richard Burton?
Which writers studied in Istanbul?,Quali scrittori hanno studiato a Istanbul?
What other books have been written by the author of The Fault in Our Stars?,Che cosa altro libri avere stato scritto di il autore di Il Colpa in Nostro Stelle? 
What is the smallest city by area in Germany?,Che cosa è il minore città di la zona in Germania? 
What is the largest city in america?,Che cosa è il maggiore città in America? 
What is the alma mater of the chancellor of Germany Angela Merkel?,Che cosa è il alma mater di il cancelliere di Germania Angela Merkel? 
Where is the birthplace of Goethe?,Dove è il luogo di nascita di Goethe? 
What is the highest mountain in Saxony Germany?,Che cosa è il massimo montagna in Sassonia Germania? 
Who is the current federal minister of finance in Germany?,Chi è il attuale federale ministro di finanza in Germania? 
In which state Penn State University is located?,In quale stato Penn Stato Università è si trova? 
How large is the area of UK?,Come grande è il la zona di UK? 
how much is the elevation of Düsseldorf Airport ?,Come tanto è il elevazione di Düsseldorf Aeroporto ? 
How much is the population of mexico city ?,Come tanto è il popolazione di Messico città ? 
when was the founding date of french fifth republic?,quando era il fondazione Data di francese quinto repubblica? 
When was the last episode of the TV series Friends aired?,quando era il ultimo episodio di il tv serie Amici in onda? 
Who is 8th president of US?,Chi è 8 ° Presidente di NOI? 
how much is the total population of  european union?,Come tanto è il totale popolazione di europeo unione? 
What is the birth name of Adele?,Che cosa è il nascita nome di Adele? 
What is the population of Cairo?,Che cosa è il popolazione di Cairo? 
What is the last work of Dan Brown?,Che cosa è il ultimo lavoro di e Marrone? 
Where is Sungkyunkwan University?,Dove è Sungkyunkwan Università? 
Who is the author of the interpretation of dreams?,Chi è il autore di il interpretazione di sogni? 
When was the death  of  Shakespeare?,quando era il Morte di Shakespeare? 
Where is the origin of Carolina reaper?,Dove è il origine di Carolina mietitrice? 
Which species does an elephant belong?,Quale specie fa un elefante appartenere? 
With how many countries Iran has borders?,Con Come molti paesi Ho corso ha frontiere? 
how big is the total area of North Rhine- Westphalia?,Come grande è il totale la zona di Nord Reno- Westfalia? 
What is Donald Trump's main business?,Che cosa è Donald Trump di principale attività commerciale? 
When will start the final match of the football world cup 2018?,quando volere inizio il finale incontro di il calcio mondo tazza 2018? 
how much is the population  Iraq?,Come tanto è il popolazione Iraq? 
how much is the population densty rank of germany?,Come tanto è il popolazione densità rango di Germania? 
Who are the writers of the Wall album of Pink Floyd?,Chi siamo il scrittori di il Parete album di Rosa Floyd? 
Which holidays are celebrated around the world? test2,Quali festività sono celebrate nel mondo?
