input_lang,output_lang
Give me all Swedish holidays.,Gib mir alle schwedischen Feiertage.
Who is the youngest Pulitzer Prize winner?,Wer ist der jüngste Pulitzer-Preisträger?
Which animals are critically endangered?,Welche Tierarten sind vom Aussterben bedroht?
Which soccer players were born on Malta?,Welche Fußballer wurden auf Malta geboren?
Did Arnold Schwarzenegger attend a university?,Hat Arnold Schwarzenegger eine Universität besucht?
Which programming languages were influenced by Perl?,Welche Programmiersprachen wurden durch Perl beeinflusst?
Is Barack Obama a democrat?,Ist Barack Obama ein Demokrat?
How many children does Eddie Murphy have?,Wieviele Kinder hat Eddie Murphy?
Who is the oldest child of Meryl Streep?,Wer ist das älteste Kind von Meryl Streep?
Who killed John Lennon?,Wer hat John Lennon getötet?
Which frequent flyer program has the most airlines?,Welches Vielfliegerprogramm hat die meisten Fluggesellschaften?
In which city is Air China headquartered?,In welcher Stadt liegt das Hauptquartier von Air China?
Which artists were born on the same date as Rachel Stevens?,Welche Künstler sind am gleichen Tag wie Rachel Stevens geboren?
How many scientists graduated from an Ivy League university?,Wieviele Wissenschaftler haben einen Abschluss von einer Ivy-League-Universität?
Which types of grapes grow in Oregon?,Welche Traubenarten wachsen in Oregon?
Who is starring in Spanish movies produced by Benicio del Toro?,Wer spielt alles in spanischen Filmen produziert von Benicio del Toro mit? 
Who is the manager of Real Madrid?,Wer ist der Manager von Real Madrid?
Give me the currency of China.,Welche Währung benutzt China?
Which movies starring Mickey Rourke were directed by Guy Ritchie?,"Bei welchen Filmen, in denen Mickey Rourke mitspielt, hat Guy Ritchie Regie geführt?"
Is Darth Vader Luke’s father?,Ist Darth Vader Lukes Vater?
How many companies were founded by the founder of Facebook?,Wieviele Firmen hat der Gründer von Facebook gegründet?
How many companies were founded in the same year as Google?,Wieviele Firmen wurden im selben Jahr wie Google gegründet?
Which subsidiary of TUI Travel serves both Glasgow and Dublin?,Welche Tochtergesellschaft von TUI Travel fliegt sowohl Glasgow als auch Dublin an?
How many airlines are members of the Star Alliance?,Wieviele Fluggesellschaften sind in der Star Alliance?
Give me all spacecrafts that flew to Mars.,"Zeig mir alle Raumschiffe, die zum Mars geflogen sind."
Which musician wrote the most books?,Welcher Musiker hat die meisten Bücher geschrieben?
Show me everyone who was born on Halloween.,"Nenne mir alle Personen, die an Halloween geboren sind. "
Give me all Swiss non-profit organizations.,Nenne mir alle Schweizer Nonprofit-Organisationen?
In which country is Mecca located?,In welchem Land liegt Mekka?
What is the net income of Apple?,Was ist der Nettogewinn von Apple?
What does the abbreviation FIFA stand for?,Wofür steht die Abkürzung FIFA?
When did the Ming dynasty dissolve?,Wann endete die Ming-Dynastie?
Which museum in New York has the most visitors?,Welches Museum in New York hat die meisten Besucher?
Is Lake Baikal bigger than the Great Bear Lake?,Ist der Baikalsee größer als der Große Bärensee?
Desserts from which country contain fish?,Nachspeisen aus welchen Ländern enthalten Fisch?
What is the highest mountain in Italy?,Was ist der höchste Berg in Italien?
Where did the architect of the Eiffel Tower study?,Wo hat der Architekt des Eiffelturms studiert?
Which Greek parties are pro-European?,Welche griechischen Parteien sind pro-europäisch?
What is the height difference between Mount Everest and K2?,Was ist der Höhenunterschied zwischen dem Mount Everest und dem K2?
Who is the mayor of Rotterdam?,Wer ist der Bürgermeister von Rotterdam?
In which city were the parents of Che Guevara born?,In welcher Stadt wurden die Eltern von Che Guevara geboren?
How high is the lighthouse in Colombo?,Wie hoch ist der Leuchtturm in Colombo?
Are Taiko a kind of Japanese musical instruments?,Sind Taiko eine Art japanische Musikinstrumente?
How many ethnic groups live in Slovenia?,Wieviele ethnische Gruppen leben in Slovenien?
List the seven kings of Rome.,Gib mir eine Liste aller Könige von Rom.
Who were the parents of Queen Victoria?,Wer waren die Eltern von Königin Viktoria?
Who is the heaviest player of the Chicago Bulls?,Wer ist der schwerste Spieler der Chicago Bulls?
Which volcanos in Japan erupted since 2000?,Welche japanischen Vulkane sind seit 2000 ausgebrochen?
Who is the tallest basketball player?,Wer ist der größte Basketballspieler?
Who is the host of the BBC Wildlife Specials?,Wer moderiert die BBC Wildlife Specials?
In what city is the Heineken brewery?,In welcher Stadt ist die Heinekenbrauerei?
When did Operation Overlord commence?,Wann wurde die Operation Overlord durchgeführt?
Who developed Slack?,Wer hat Slack entwickelt?
How many seats does the home stadium of FC Porto have?,Wieviele Plätze hat das Heimstadium des FC Porto?
Who discovered Ceres?,Wer entdeckte Ceres?
What is the largest country in the world?,Was ist das größte Land der Welt?
Who is the mayor of Paris?,Wer ist Bürgermeister von Paris?
Who is the coach of Ankara's ice hockey team?,Wer ist der Trainer von Ankaras Eishockeymannschaft?
How much did the Lego Movie cost?,Wieviel hat der Legofilm gekostet?
Where does Piccadilly start?,Wo fängt Piccadilly an?
How many people live in Poland?,Wieviele Menschen leben in Polen?
Who created Family Guy?,Wer hat sich Family Guy ausgedacht?
Who wrote the song Hotel California?,Wer hat das Lied Hotel California geschrieben?
What is in a chocolate chip cookie?,Was ist in Chocolate Chip Cookies drin?
Does Neymar play for Real Madrid?,Spielt Neymar für Real Madrid?
Which computer scientist won an oscar?,Welcher Informatiker hat einen Oscar gewonnen?
Who played Gus Fring in Breaking Bad?,Wer hat Gus Fring in Breaking Bad gespielt?
In which ancient empire could you pay with cocoa beans?,In welchem alten Reich konnte man mit Kakaobohnen bezahlen?
Which electronics companies were founded in Beijing?,Welche Elektronikunternehmen wurden in Peking gegründet?
What is the capital of Cameroon?,Was ist die Hauptstadt von Kamerun?
What is Batman's real name?,Was ist Batmans richtiger Name?
What form of government does Russia have?,Welche Regierungsform hat Russland?
Which Indian company has the most employees?,Welches indische Unternehmen hat die meisten Angestellten?
What color expresses loyalty?,Welche Farbe steht für Loyalität?
Who is the president of Eritrea?,Wer ist der Präsident von Eritrea?
Which films did Stanley Kubrick direct?,Bei wievielen Filmen hat Stanley Kubrick Regie geführt?
Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?,Welche Tochtergesellschaft von Lufthansa fliegt sowohl Dortmund als auch Berlin Tegel an?
Who was the successor of John F. Kennedy?,Wer war der Nachfolger von John F. Kennedy?
Who composed the soundtrack for Cameron's Titanic?,Wer hat den Soundtrack für Camerons Titanic geschrieben?
In which time zone is Rome?,In welcher Zeitzone liegt Rom?
Who are the developers of DBpedia?,Wer sind die Entwickler von DBpedia?
Who is the king of the Netherlands?,Wer ist der König der Niederlande?
In which city did Nikos Kazantzakis die?,In welcher Stadt ist Nikos Kazantzakis gestorben?
Give me a list of all critically endangered birds.,Gib mir eine Liste aller stark bedrohten Vogelarten.
Which companies produce hovercrafts?,Welche Firmen stellen Hovercrafts her?
Did Elvis Presley have children?,Hatte Elvis Presley Kinder?
In which city was the president of Montenegro born?,In welcher Stadt ist der Präsident von Montenegro geboren?
Which country was Bill Gates born in?,In welchem Land ist Bill Gates geboren?
In which countries do people speak Japanese?,In welcher Ländern wird Japanisch gesprochen?
What was the first Queen album?,Was war das erste Queen-Album?
What country is Sitecore from?,Aus welchem Land kommt Sitecore?
Whom did Lance Bass marry?,Wen hat Lance Bass geheiratet?
Who was Vincent van Gogh inspired by?,Wer hat Vincent van Gogh inspiriert?
Who wrote the Game of Thrones theme?,Wer hat das Titellied für Games of Thrones geschrieben?
When did Boris Becker end his active career?,Wann hat Boris Becker seine aktive Karriere beendet?
To which party does the mayor of Paris belong?,Welcher Partei gehört die Bürgermeisterin von Paris an?
Who was the doctoral supervisor of Albert Einstein?,Wer war der Doktorvater von Albert Einstein?
In which city does Sylvester Stallone live?,In welcher Stadt wohnt Sylvester Stallone?
Who is the son of Sonny and Cher?,Wer ist der Sohn von Sonny und Cher?
In which city are the headquarters of the United Nations?,In welcher Stadt ist das Hauptquartier der Vereinten Nationen?
Show me Hemingway's autobiography.,Zeig mir Hemmingways Autobiographie.
Did Kaurismäki ever win the Grand Prix at Cannes?,Hat Kaurismäki jemals den Großen Preis der Jury in Cannes gewonnen?
Where is Syngman Rhee buried?,Wo liegt Syngman Rhee begraben?
Show me all books in Asimov's Foundation series.,Zeig mir alle Bücher in Asimovs Foundation-Serie.
How high is the Yokohama Marine Tower?,Wie hoch ist der Yokohama Marine Tower?
Does the new Battlestar Galactica series have more episodes than the old one?,Hat die neue Battlestar-Galactica-Serie mehr Episoden als die alte?
What is the biggest stadium in Spain?,Was ist das größte Stadion in Spanien?
Which professional surfers were born on the Philippines?,Welche Profisurfer wurden auf den Philippinen geboren?
What are the five boroughs of New York?,Was sind die fünf Stadtteile von New York?
When did princess Diana die?,Wann ist Prinzessin Diana gestorben?
Are there any castles in the United States?,Gibt es irgendwelche Schlösser in den Vereinigten Staaten?
Can you find frescoes in Crete?,Können Sie Fresken in Kreta finden?
Do Urdu and Persian have a common root?,Haben Urdu und Perser eine gemeinsame Wurzel?
Does the Ford Motor Company have a manufacturing plant in Malaysia?,Hat Ford eine Frabik in Malaysia?
How many years was the Ford Model T manufactured?,Wie viele Jahre wurde das Ford Model T hergestellt?
Give me all gangsters from the prohibition era.,Gib mir alle Gangster der Prohibitions Ära.
Give me all Seven Wonders of the Ancient World.,Gib mir alle Sieben Wunder der Antiken Welt.
Give me all chemical elements.,Gib mir alle Chemischen Elemente.
How many rivers and lakes are in South Carolina?,Wie viele Flüsse und Seen gibt es in South Carolina?
How many states are in Mexico?,Wie viele Staaten gibt es in Mexiko?
How many theories did Albert Einstein come up with?,Wie viele Theorien hat Albert Einstein formuliert?
Is horse racing a sport?,Ist Pferderennen ein Sport
Is Pluto really a planet?,Ist Pluto wirklich ein Planet?
Was Sigmund Freud married?,War Sigmund Freud verheiratet?
What form of government is found in South Africa?,Welche Regierungsform hat Südafrika?
What is the largest state in the United States?,Was ist der größte Staat in den Vereinigten Staaten?
What is the longest river in the world?,Was ist der längste Fluss der Welt?
Which building after the Burj Khalifa has the most floors?,Welches Gebäude nach dem Burj Khalifa hat die meisten Etagen
What is the wavelength of indigo?,Was ist die Wellenlänge von Indigo?
What was the name of the famous battle in 1836 in San Antonio?,Wie ist der Name der berühmten Schlacht von 1836 in San Antonio?
What were the names of the three ships used by Columbus?,"Was waren die Namen der drei Schiffe, die Columbus benutzte?"
When did Muhammad die?,Wann ist Muhammad gestorben?
When was the De Beers company founded?,Wann wurde De Beers gegründet?
When was John Adams born?,Wann wurde John Adams geboren?
Which American presidents were in office during the Vietnam War?,Welche Amerikanischen Präsidenten waren während des Vietnamkriegs im Amt?
Which city has the oldest running metro?,Welche Stadt hat die älteste funktionierende U-Bahn?
Which holidays are celebrated around the world?,Welche Feiertage werden auf der Welt gefeiert?
Who assassinated President McKinley?,Wer hat Präsident McKinley ermordet?
Who discovered Pluto?,Wer hat Pluto entdeckt?
Who killed Caesar?,Wer hat Caesar getötet?
Who was buried in the Great Pyramid of Giza?,Wer wurde in der Cheops-Pyramide begraben?
Who was the first King of England?,Wer war der erste König von England?
What was the final result of the War of the Roses?,Was war das Endergebnis der Rosenkriege?
Who writes the Farmers' Almanac?,Wer schreibt das Farmes' Almanac?
How big is the earth's diameter?,Wie groß ist der Durchmesser der Erde?
How many people live in Eurasia?,Wie viele Menschen leben in Eurasien?
Give me the runtime of Toy Story.,Gib mir die Laufzeit von Toy Story.
What was the first name of the band Queens of the Stone Age?,Was war der erste Name der Band Queens of the Stone Age?
Give me the birth place of Frank Sinatra.,Gib mir den Geburtsort von Frank Sinatra.
Which university did Angela Merkel attend?,Welche Universiät hat Angela Merkel besucht?
List all boardgames by GMT.,Liste alle Brettspiele von GMT. 
Who developed Skype?,Wer entwickelt Skype? 
Which people were born in Heraklion?,Welche Menschen wurden geboren im Heraklion? 
In which U.S. state is Area 51 located?,Im welche US Zustand ist Bereich 51 gelegen? 
Where did Abraham Lincoln die?,Woher hat getan Abraham Lincoln die? 
Give me all actors starring in movies directed by and starring William Shatner.,"Gib mir alle Schauspieler von Filmen, in denen William Shatner sowohl Regie geführt als auch selber mitgespielt hat."
Which movies starring Brad Pitt were directed by Guy Ritchie?,"Bei welchen Filmen, in denen Brad Pitt mitspielt, hat Guy Ritchie Regie geführt?"
Give me the Apollo 14 astronauts.,Gib mir alle Apollo-14-Astronauten.
Who wrote the book The pillars of the Earth?,Wer schrieb das Buch Das Säulen von das Erde? 
Which state of the United States of America has the highest density?,Welche Zustand von das Vereinigt Zustände von Amerika hat das höchste Dichte? 
Which spaceflights were launched from Baikonur?,Welche Raumflüge sind von Baikonur gestartet?
Give me a list of all trumpet players that were bandleaders.,"Gib mit eine Liste aller Trompeter, die Bandleader waren."
Which U.S. states are in the same timezone as Utah?,Welche US-Bundesstaaten liegen in derselben Zeitzone wie Utah?
Show me all museums in London.,Zeig mir alle Museen in London.
Show me all basketball players that are higher than 2 meters.,"Zeig mir alle Basketballspieler, die größer als 2 Meter sind."
What movies does Jesse Eisenberg play in?,In welchen Filmen spielt Jesse Eisenberg mit?
What kind of music did Lou Reed play?,Was für Musik hat Lou Reed gemacht?
Where do the Red Sox play?,Wo spielen die Red Sox?
How many movies did Park Chan-wook direct?,Bei wievielen Filmen hat Park Chan-wook Regie geführt?
Which movies star both Liz Taylor and Richard Burton?,In welchen Filmen spielen sowohl Liz Taylor als auch Richard Burton mit?
Which writers studied in Istanbul?,Welche Schriftsteller haben in Istanbul studiert?
What other books have been written by the author of The Fault in Our Stars?,Welche anderen Bücher wurden vom Autor von Der Fehler unserer Sterne geschrieben? 
Which software has been developed by organizations founded in California?,"Welche Softwareprodukte wurden von Unternehmen entwickelt, die in Kalifornien gegründet wurden?"
What is the smallest city by area in Germany?,Was ist die kleinste Stadt gemessen an der Fläche in Deutschland? 
Which Chess players died in the same place they were born in?,"Welche Schachspieler starben am selben Ort, an dem sie geboren wurden?"
Give me all films produced by Steven Spielberg with a budget of at least $80 million.,"Gib mir alle Filme, die von Steven Spielberg produziert wurden und ein Budget von mindestens 80 Millionen Dollar hatten."
What is the largest city in america?,Was ist das größten Stadt im Amerika? 
What is the alma mater of the chancellor of Germany Angela Merkel?,Was ist das Alma mater von das Kanzler von Deutschland Angela Merkel? 
Where is the birthplace of Goethe?,Woher ist das Geburtsort von Goethe? 
What is the highest mountain in Saxony Germany?,Was ist das höchste Berg im Sachsen Deutschland? 
Who is the current federal minister of finance in Germany?,Wer ist das Strom Bundes Minister von Finanzen im Deutschland? 
In which state Penn State University is located?,Im welche Zustand Penn Zustand Universität ist gelegen? 
How large is the area of UK?,Wie groß ist das Bereich von VEREINIGTES KÖNIGREICH? 
how much is the elevation of Düsseldorf Airport ?,Wie viel ist das Elevation von Düsseldorf Flughafen ? 
How much is the population of mexico city ?,Wie viel ist das Population von Mexiko Stadt ? 
when was the founding date of french fifth republic?,wann war das Gründung Datum von Französisch fünfte Republik? 
When was the last episode of the TV series Friends aired?,Wann war das letzte Folge von das Fernseher Serie Freunde ausgestrahlt? 
Who is 8th president of US?,Wer ist 8. Präsident von UNS? 
how much is the total population of  european union?,Wie viel ist das gesamt Population von europäisch Union? 
What is the birth name of Adele?,Was ist das Geburt Name von Adele? 
What is the population of Cairo?,Was ist das Population von Kairo? 
What is the last work of Dan Brown?,Was ist das letzte Arbeit von Und Braun? 
Where is Sungkyunkwan University?,Woher ist Sungkyunkwan Universität? 
Who is the author of the interpretation of dreams?,Wer ist das Autor von das Deutung von Träume? 
When was the death  of  Shakespeare?,Wann war das Tod von Shakespeare? 
Where is the origin of Carolina reaper?,Woher ist das Ursprung von Carolina Sensenmann? 
Which species does an elephant belong?,Welche Spezies tut ein Elefant gehören? 
With how many countries Iran has borders?,Mit Wie viele Länder Ich rannte hat Grenzen? 
how big is the total area of North Rhine- Westphalia?,Wie groß ist das gesamt Bereich von Norden Rhein- Westfalen? 
What is Donald Trump's main business?,Was ist Donald Trumps Main Geschäft? 
When will start the final match of the football world cup 2018?,Wann werden Anfang das Finale Spiel von das Fußball Welt Tasse 2018? 
how much is the population  Iraq?,Wie viel ist das Population Irak? 
how much is the population densty rank of germany?,Wie viel ist das Population Dichte Rang von Deutschland? 
Who are the writers of the Wall album of Pink Floyd?,Wer sind das Schriftsteller von das Mauer Album von Rosa Floyd? 
Which holidays are celebrated around the world? test2,Welche Feiertage werden auf der Welt gefeiert? test1
Do Urdu and Persian have a common root?,Haben Urdu und Persisch gemeinsame Wurzeln?
Is Michelle Obama the wife of Barack Obama?,Ist Michelle Obama die Ehefrau von Barack Obama?
Give me the currency of China.,Zeig mir die Währung in China an.
Give me all Swedish oceanographers.,Gib mir alle in Schweden geborenen Ozeanographen.
Is Rita Wilson the wife of Tom Hanks?,Ist Rita Wilson die Ehefrau von Tom Hanks?
In which countries do people speak Japanese?,In welchen Ländern wird Japanisch gesprochen?
